id_meetlocatie,start_locatie_longitude,start_locatie_latitude
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
RWS01_MONIBAS_0151hrl0533ra,4.42663,51.87127
